topic,term,beta
1,eggs,0.13324802239080283
1,scrambled,0.12257586845951143
1,sausage,0.0948838009696501
1,tortilla,0.0841117472238628
1,onions,0.07783093525481331
1,cheese,0.07573221175267852
2,cheese,0.05438137938547437
2,steak,0.0526414241828192
2,breakfast,0.046215318776943924
2,eggs,0.04598431084442746
2,cheddar,0.04475007376356175
2,flour,0.03928942737600582
3,pico,0.0440012840479691
3,de,0.04298521124916758
3,gallo,0.039998696077083076
3,avocado,0.02676378293625853
3,slaw,0.025051845765175967
3,cabbage,0.024395284572427456
4,salsa,0.09245011860774084
4,cream,0.06142795786546192
4,black,0.06037697404291443
4,beans,0.05911241184961685
4,sour,0.054355905468606566
4,rice,0.049727280368537026
5,salsa,0.15553337462947467
5,chicken,0.09036313376408862
5,fresca,0.06983965384760107
5,steak,0.06786930430101246
5,grilled,0.05740620476235158
5,cheese,0.050230312008615836
6,beans,0.05589598226723461
6,cheese,0.05060729718450501
6,rice,0.04072710015021363
6,served,0.04033685016362274
6,beef,0.03816990216889285
6,flour,0.03530411916331193
7,fresh,0.13750915451595597
7,lime,0.06904218785384081
7,cabbage,0.050859599350256614
7,fish,0.04614664132509584
7,sauce,0.04471530016854358
7,topped,0.04082805403950815
8,cheese,0.07065519082048788
8,cheddar,0.06036030592059472
8,bacon,0.043729956545972934
8,tomatoes,0.0416778509126208
8,lettuce,0.04080434460100013
8,flour,0.04028877925285808
9,chicken,0.06039051000901423
9,de,0.05672168343563137
9,pico,0.055617260646737283
9,gallo,0.05400018550525371
9,pork,0.04767012807213148
9,steak,0.045309980040891595
10,shredded,0.07159805676224285
10,lettuce,0.06411964589469102
10,taco,0.06330114033542428
10,cheese,0.06207366179211707
10,beef,0.061918404546788396
10,tortilla,0.05778434489001736
